date,title,source
Oct-17-18,Cambria Chicago Magnificent Mile lone holdout in hotel workers strike,American City Business Journals
Oct-17-18,Estimated $32M in new hotels planned near Disney's Flamingo Crossings development,American City Business Journals
Oct-17-18,"Hilton Rides on Unit Expansion, Opens Upscale Hotel in Taiwan",Zacks
Oct-18-18,Hotel strike is dealing a blow to Marriott's Bay Area business,American City Business Journals
Oct-19-18,Marriott Rides on Acquisition & Expansion Despite Competition,Zacks
Oct-22-18,Why Cambria Hotel Chicago Magnificent Mile workers are still striking,American City Business Journals
Oct-24-18,Hyatt Hotels ranks high in new TripAdvisor hotel chain survey,American City Business Journals
Oct-25-18,Hyatt (H) Q3 Earnings: Will Soft Owned and Leased Sales Hurt?,Zacks
Oct-25-18,Why Hyatt Regency Orlando's HR leader says an inclusive atmosphere drives business success,American City Business Journals
Oct-25-18,7 things to know today and this hotel brand ranks high in new TripAdvisor traveler reviews,American City Business Journals
Oct-26-18,"Ninth Natomas hotel proposal is biggest yet, at 201 rooms",American City Business Journals
Oct-26-18,"Hyatt Regency Xuzhou Opens in Xuzhou, Jiangsu Province",Business Wire
Oct-26-18,Morgan Stanley Bank of America Merrill Lynch Trust 2016-C31 -- Moody's affirms eight classes of MSBAM 2016-C31,Moody's
Oct-29-18,Kimpton Sawyer Hotel has new general manager,American City Business Journals
Oct-29-18,Is Hyatt Hotels Corporations (NYSE:H) Liquidity Good Enough?,Simply Wall St.
Oct-30-18,Hyatt Hotels (H) Beats Q3 Earnings Estimates,Zacks
Oct-30-18,Hyatt Hotels: 3Q Earnings Snapshot,Associated Press
Oct-30-18,Hyatt Reports Third-Quarter 2018 Results,Business Wire
Oct-30-18,Two hospitality giants remain in competition to land Congress Center hotel,American City Business Journals
Oct-31-18,Hyatt Hotels Corp (H) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Oct-31-18,"Hyatt's (H) Q3 Earnings Surpass, Revenues Miss Estimates",Zacks
Oct-31-18,Hyatt Hotels Hikes Its Cash Return Plans,Motley Fool
Nov-01-18,Edited Transcript of H earnings conference call or presentation 31-Oct-18 3:30pm GMT,Thomson Reuters StreetEvents
Nov-02-18,Ron Baron Comments on Hyatt Hotels Corp,GuruFocus.com
Nov-02-18,Restaurants and Hospitality: Atlantic Station unveils bold new 'Central Park' design,American City Business Journals
Nov-05-18,Hotel Sofia Barcelona to Join the Unbound Collection by Hyatt,Business Wire
Nov-05-18,"Market Trends Toward New Normal in PerkinElmer, Fortinet, Lincoln National, Hyatt Hotels, The New York Times, and DICK'S Sporting Goods  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Nov-05-18,Andaz Capital Gate Abu Dhabi Opens Doors in the Middle East,Business Wire
Nov-09-18,"Choice Hotels (CHH) Q3 Earnings Beat, Revenues Lag Estimates",Zacks
Nov-12-18,Edited Transcript of H earnings conference call or presentation 31-Oct-18 3:30pm GMT,Thomson Reuters StreetEvents
Nov-15-18,Exclusive: Amazon-anchored development upgrades to luxury hotel,American City Business Journals
Nov-16-18,Executive Profile: Joseph Fawole brings Midtown Atlanta to hotel guests,American City Business Journals
Nov-19-18,Hyatt and Tamdeen Group Announce Plans for Hyatt Regency Al Kout Mall,Business Wire
Nov-20-18,"Hyatt (H) Inks Contract With Tamdeen, Expands Hyatt Regency",Zacks
Nov-23-18,Hilton Rides On Expansion & Loyalty Program Amid Competition,Zacks
Nov-28-18,Is Hyatt Hotels Corporations (NYSE:H) CEO Overpaid Relative To Its Peers?,Simply Wall St.
Nov-29-18,Hyatt Announces First Hyatt-Branded Hotel in Scotland,Business Wire
Nov-29-18,Why Is Hyatt Hotels (H) Up 4.4% Since Last Earnings Report?,Zacks
Nov-29-18,Hyatt (H) Rides on Expansion & Acquisition Amid Competition,Zacks
Nov-30-18,Hyatt Completes Acquisition of Two Roads Hospitality,Business Wire
Nov-30-18,Marriott's Starwood hack hits up to 500 million customers,Reuters
Nov-30-18,"Hyatt to Set Foot in Scotland, Expand Hyatt Regency Brand",Zacks
Dec-03-18,Opening date approaches for Carroll's first downtown Greensboro hotel,American City Business Journals
Dec-03-18,"Marriott, hotel workers reach tentative agreement to end strike",American City Business Journals
Dec-03-18,"Hyatt Buys Two Roads Hospitality, Continues With Expansion",Zacks
Dec-04-18,"Hilton Opens Hotel in Shanghai, Expands DoubleTree Brand",Zacks
Dec-06-18,"Hyatt Announces Plans for a Hyatt Regency Hotel in Tirana, Albania",Business Wire
Dec-10-18,Hyatt Regency Seattle Opens Today as the Largest Hotel in the Pacific Northwest,Business Wire
Dec-11-18,Hyatt (H) Opens Pacific Northwest's Largest Hotel in Seattle,Zacks
Dec-12-18,Hotel Sofia Barcelona Joins the Unbound Collection by Hyatt,Business Wire
Dec-12-18,Hyatt Announces Inaugural Global Day of Gratitude to Promote Colleague and Guest Wellbeing,Business Wire
Dec-12-18,"Choice Hotels (CHH) Expands in Nevada, Strengthens Portfolio",Zacks
Dec-13-18,Hyatt (H) Expands Portfolio by Adding Hotel SOFIA Barcelona,Zacks
Dec-17-18,"Hyatt on Expansion Spree, To Open First Andaz Hotel in Dubai",Zacks
Dec-19-18,How hotels are responding to the rise of Airbnb,American City Business Journals
Dec-19-18,Extended Stay America Rides on Unit Growth Amid Competition,Zacks
