date,action,name,rate,target
Oct-26-18,Reiterated,Imperial Capital,Outperform,$72 to $90
Oct-26-18,Reiterated,Imperial Capital,Outperform,$72 to $90
Oct-30-18,Downgrade,JP Morgan,Overweight to Neutral,
Oct-30-18,Downgrade,JP Morgan,Overweight to Neutral,
Nov-12-18,Initiated,Goldman,Neutral,$61
Nov-12-18,Initiated,Goldman,Neutral,$61
Nov-19-18,Initiated,Credit Suisse,Neutral,$59
Nov-19-18,Initiated,Credit Suisse,Neutral,$59
Nov-27-18,Reiterated,Cowen,Market Perform,$55 to $60
Nov-27-18,Reiterated,Cowen,Market Perform,$55 to $60
Nov-28-18,Upgrade,JP Morgan,Neutral to Overweight,
Nov-28-18,Reiterated,Imperial Capital,Outperform,$90 to $98
Nov-28-18,Upgrade,JP Morgan,Neutral to Overweight,
Nov-28-18,Reiterated,Imperial Capital,Outperform,$90 to $98
Dec-06-18,Upgrade,Credit Suisse,Neutral to Outperform,
Dec-06-18,Upgrade,Credit Suisse,Neutral to Outperform,
Jan-09-19,Reiterated,Imperial Capital,Outperform,$98 to $88
Jan-09-19,Reiterated,Imperial Capital,Outperform,$98 to $88
Jan-17-19,Reiterated,Cowen,Outperform,$71 to $76
Jan-17-19,Reiterated,Cowen,Outperform,$71 to $76
Feb-04-19,Initiated,Vertical Research,Buy,
Feb-04-19,Initiated,Vertical Research,Buy,
