date,title,source
Oct-24-18,Vector Announces Commencement of Notes Offering of $325 Million of Senior Unsecured Notes Due 2026,Business Wire
Oct-25-18,Vector Group Ltd. -- Moody's assigns B2 to Vector's new bond offering; outlook changed to negative,Moody's
Oct-30-18,Vector Announces Pricing of $325 Million of 10.500% Senior Notes Due 2026,Business Wire
Nov-01-18,Vector Group to Host Third Quarter 2018 Results Conference Call,Business Wire
Nov-07-18,Vector Group to Present at Morgan Stanley Global Consumer & Retail Conference,Business Wire
Nov-07-18,Vector: 3Q Earnings Snapshot,Associated Press
Nov-07-18,Vector Group Reports Third Quarter 2018 Financial Results,Business Wire
Nov-09-18,Edited Transcript of VGR earnings conference call or presentation 7-Nov-18 1:30pm GMT,Thomson Reuters StreetEvents
Nov-12-18,Edited Transcript of VGR earnings conference call or presentation 7-Nov-18 1:30pm GMT,Thomson Reuters StreetEvents
Nov-15-18,Vector Group Ltd (VGR) President and CEO Howard M Lorber Sold $9.9 million of Shares,GuruFocus.com
Nov-20-18,"New Research: Key Drivers of Growth for Visa, Vermilion Energy, Insignia, Ventas, Unisys, and Vector Group  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Nov-28-18,Vector Group Declares Quarterly Cash Dividend,Business Wire
Dec-10-18,5 Safe Stocks to Survive a Turbulent Market,Zacks
Dec-11-18,"The Zacks Analyst Blog Highlights: Vector Group, Archer Daniels Midland, McCormick, American Electric Power and Pinnacle West Capital",Zacks
Dec-13-18,How Much Of Vector Group Ltd. (NYSE:VGR) Do Insiders Own?,Simply Wall St.
Dec-17-18,5 Worst Performing Stocks of 2018 That Could Soar in 2019,Zacks
Dec-18-18,"The Zacks Analyst Blog Highlights: Approach Resources, ASE Technology, Vector, Lithia and Manning & Napier",Zacks
Dec-27-18,Will RRPs Curate a Comeback for Philip Morris (PM) in 2019?,Zacks
Dec-31-18,Vector Group Acquires Remaining 29% Interest of Douglas Elliman Realty,Business Wire
Jan-03-19,Two Dividend-Paying 'Sin Stocks' To Watch Right Now,Zacks
Feb-01-19,Philip Morris (PM) Q4 Earnings: Low Cigarette Volumes to Hurt,Zacks
Feb-25-19,Vector Group to Host Fourth Quarter and Full-Year 2018 Results Conference Call,Business Wire
Feb-28-19,Vector Group Ltd (VGR) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Feb-28-19,Vector Group Reports Fourth Quarter and Full Year 2018 Financial Results,Business Wire
Mar-04-19,Edited Transcript of VGR earnings conference call or presentation 28-Feb-19 1:30pm GMT,Thomson Reuters StreetEvents
Mar-05-19,Vector Group Declares Quarterly Cash Dividend,Business Wire
Mar-05-19,Edited Transcript of VGR earnings conference call or presentation 28-Feb-19 1:30pm GMT,Thomson Reuters StreetEvents
Mar-12-19,How Vector Group Ltd. (NYSE:VGR) Can Impact Your Portfolio Volatility,Simply Wall St.
