date,title,source
Oct-22-18,My Size Partners With Lightspeed to Provide MySizeID Mobile Measurement Solution to e-Retailers Worldwide,PR Newswire
Oct-30-18,My Size's MySizeID Smart Body Measurement SDK is Now Available for iOS Devices,PR Newswire
Nov-06-18,"My Size Will Participate in the 11th Annual LD Micro Main Event Conference to be Held in Los Angeles, CA on December 4-6 2018",PR Newswire
Nov-12-18,My Size to Showcase Its MySizeID Mobile Measurement Technology at What's Next in Retail Tech in Amsterdam,PR Newswire
Nov-20-18,My Size Inc. Announces Third Quarter 2018 Results and Provides Year-to-Date Progress Report,PR Newswire
Dec-06-18,My Size Names Tao Fleury U.S. Sales Manager,PR Newswire
Dec-12-18,"My Size, Inc.'s Mobile Smart Tape Measure App, SizeUp, Reaches One Million Downloads",PR Newswire
Dec-19-18,My Size Launches Online Store 'Modelista' to Showcase MySizeID Mobile Measurement Technology for Online Retailers,PR Newswire
Jan-03-19,My Size Launches MySizeID Smart Measurement Fashion App for Android,PR Newswire
Jan-09-19,My Size Names Jessica Hoopfer Director of U.S. Sales,PR Newswire
Jan-11-19,My Size's BoxSizeID Captures Additional Revenue for One of Israel's Leading Packaging Delivery Companies by Improving Operational Efficiency and Reducing Operating Expenses,PR Newswire
Jan-30-19,My Size to Showcase Mobile Measurement Technologies for Retailers at The MoneyShow Orlando,PR Newswire
Feb-05-19,My Size to Showcase Mobile Measurement Technologies for Retailers at E-commerce Berlin Expo,PR Newswire
Feb-07-19,"My Size to Debut 'MySizeID' to Leading Fashion Designers, Suppliers, and Retailers at United Kingdom's Top Annual Fashion Trade Event",PR Newswire
Feb-26-19,My Size to Showcase 'MySizeID' to Leading Retailers and Brands at Shoptalk 2019,PR Newswire
Feb-27-19,"My Size to Participate in 31st Annual Roth OC Growth Conference on March 17-19, 2019",PR Newswire
Mar-05-19,My Size Announces General Availability of MySizeID Mobile Measurement Technology on Leading E-Commerce Platform,PR Newswire
Mar-06-19,"My Size Launches BoxSizeID to Honeywell Marketplace, Providing Highly Accurate Mobile Measurement Solution for Shipping and Logistics Companies Worldwide",PR Newswire
Mar-26-19,My Size Launches New Features for MySizeID for Enhanced Inclusivity and Consumer Preference-based Recommendations,PR Newswire
Mar-28-19,My Size Inc. Announces 2018 Financial Results,PR Newswire
Apr-02-19,"My Size Launches MySizeID Mobile Measurement Solution to Lightspeed Platform, Providing Personalized Shopping Technologies for e-Retailers Worldwide",PR Newswire
Apr-25-19,My Size Announces Executive Personnel Changes,PR Newswire
Apr-30-19,My Size Announces Successful Smart Mobile Measurement Technology Pilot Program for Leading Global Plus-size Apparel Brand,PR Newswire
