date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:05:59 ,33.27,3.26%,"97,588",151.97K,645.44M,27.00M,428.70M,2.75,23.76,14.82,1.83,14.28,1.51,2.40,3.60,0.00,-4.39%,-11.96%,0.51%,35.17,10.80%,13.90%,10.10%,14.70%,8.50%,7.20%,19.40M,18.13M,2.30%,2.75,39.00,-24.01%,40.54%,32.22,1.40,30.80%,86.90%,4.20%,-16.19%,83.00%,0.59%,0.12,0.36%,803,3.00
2018-10-17,21:59:36 ,33.68,1.23%,"167,033",151.97K,653.39M,27.00M,428.70M,2.78,24.06,15.00,1.85,14.46,1.52,2.40,3.60,0.00,-2.63%,-10.45%,1.67%,39.34,10.80%,13.90%,10.10%,14.70%,8.50%,7.20%,19.40M,18.13M,2.30%,2.75,39.00,-23.07%,42.27%,33.27,1.40,30.80%,86.90%,4.20%,-16.19%,83.00%,0.59%,0.12,0.36%,803,3.00
2018-10-18,22:36:26 ,27.18,-19.30%,"549,360",153.96K,527.29M,27.00M,428.70M,2.25,19.41,12.11,1.49,11.67,1.23,2.40,3.60,0.00,-21.11%,-27.38%,-18.01%,19.17,10.80%,13.90%,10.10%,14.70%,8.50%,7.20%,19.40M,18.13M,2.30%,2.71,39.00,-37.92%,14.81%,33.68,1.40,30.80%,86.90%,4.20%,-16.19%,83.00%,0.59%,0.12,0.44%,803,3.00
2018-10-19,22:43:50 ,26.87,-1.14%,"300,953",160.71K,521.28M,27.00M,428.70M,2.22,19.19,11.97,1.48,11.53,1.22,2.40,3.60,0.00,-20.94%,-27.60%,-18.93%,18.82,10.80%,13.90%,10.10%,14.70%,8.50%,7.20%,19.40M,18.13M,2.30%,2.60,39.00,-38.62%,13.50%,27.18,1.40,30.80%,86.90%,4.20%,-16.19%,83.00%,0.59%,0.12,0.45%,803,3.00
2018-10-22,20:03:37 ,27.61,2.75%,"261,026",156.30K,532.87M,33.00M,453.20M,2.28,16.16,14.02,1.24,11.79,1.18,2.40,3.60,0.00,-17.64%,-24.96%,-16.67%,23.74,8.70%,11.20%,10.10%,15.60%,6.60%,5.40%,19.30M,18.13M,2.30%,2.67,32.00,-36.93%,16.63%,26.87,1.71,30.80%,86.90%,4.20%,-16.26%,83.00%,0.58%,0.12,0.43%,803,3.00
2018-10-23,20:05:22 ,26.41,-4.35%,"212,510",153.77K,509.71M,33.00M,453.20M,2.18,15.45,13.41,1.19,11.28,1.12,2.40,3.60,0.00,-20.27%,-27.65%,-20.27%,21.39,8.70%,11.20%,10.10%,15.60%,6.60%,5.40%,19.30M,18.13M,2.30%,2.71,32.00,-39.68%,11.56%,27.61,1.71,30.80%,86.90%,4.20%,-16.26%,83.00%,0.58%,0.12,0.45%,803,3.00
2018-10-24,20:03:37 ,26.02,-1.48%,"230,190",150.37K,502.19M,33.00M,453.20M,2.15,15.23,13.21,1.17,11.11,1.11,2.40,3.60,0.00,-20.38%,-28.11%,-21.41%,20.80,8.70%,11.20%,10.10%,15.60%,6.60%,5.40%,19.30M,18.13M,2.30%,2.78,32.00,-40.57%,9.91%,26.41,1.71,30.80%,86.90%,4.20%,-16.26%,83.00%,0.58%,0.12,0.46%,803,3.00
2018-10-25,20:04:32 ,26.48,1.77%,"108,594",150.93K,511.06M,33.00M,453.20M,2.19,15.49,13.44,1.19,11.31,1.13,2.40,3.60,0.00,-17.89%,-26.17%,-19.99%,24.06,8.70%,11.20%,10.10%,15.60%,6.60%,5.40%,19.30M,18.13M,2.30%,2.77,32.00,-39.52%,11.85%,26.02,1.71,30.80%,86.90%,4.20%,-16.26%,83.00%,0.58%,0.12,0.45%,803,3.00
2018-10-26,20:02:48 ,26.20,-1.06%,"196,203",149.69K,505.66M,33.00M,453.20M,2.17,15.33,13.30,1.18,11.19,1.12,2.40,3.60,0.00,-17.65%,-26.38%,-20.80%,23.57,8.70%,11.20%,10.10%,15.60%,6.60%,5.40%,19.30M,18.13M,2.30%,2.79,32.00,-40.16%,10.67%,26.48,1.71,30.80%,86.90%,4.20%,-16.26%,83.00%,0.58%,0.12,0.46%,803,3.00
2018-10-29,19:57:55 ,26.50,1.15%,"173,754",148.91K,511.19M,33.00M,453.20M,2.10,15.51,13.45,1.19,11.64,1.13,1.40,2.70,0.00,-15.42%,-24.94%,-19.86%,25.78,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.29M,18.13M,2.15%,2.62,32.00,-39.47%,11.94%,26.20,1.71,25.30%,156.10%,4.20%,-16.27%,83.10%,0.74%,0.12,0.45%,810,3.00
2018-10-30,19:58:47 ,26.79,1.09%,"107,500",148.25K,516.78M,33.00M,453.20M,2.12,15.68,13.60,1.21,11.77,1.14,1.40,2.70,0.00,-13.36%,-23.51%,-18.95%,28.00,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.29M,18.13M,2.15%,2.63,32.00,-38.81%,13.16%,26.50,1.71,25.30%,156.10%,4.20%,-16.27%,83.10%,0.74%,0.12,0.45%,810,3.00
2018-10-31,19:57:54 ,26.12,-2.50%,"204,428",145.18K,503.85M,33.00M,453.20M,2.07,15.28,13.26,1.18,11.48,1.11,1.40,2.70,0.00,-14.52%,-24.86%,-20.94%,26.12,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.29M,18.13M,2.15%,2.68,32.00,-40.34%,10.33%,26.79,1.71,25.30%,156.10%,4.20%,-16.27%,83.10%,0.74%,0.12,0.46%,810,3.00
2018-11-01,20:00:49 ,27.49,5.25%,"138,767",141.62K,530.28M,33.00M,453.20M,2.18,16.09,13.95,1.24,12.08,1.17,1.40,2.70,0.00,-8.65%,-20.25%,-16.75%,35.25,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.29M,18.13M,2.15%,2.75,32.00,-37.21%,16.12%,26.12,1.71,25.30%,156.10%,4.20%,-16.27%,83.10%,0.74%,0.12,0.44%,810,3.00
2018-11-03,01:28:22 ,27.65,0.58%,"126,979",141.22K,533.37M,33.00M,453.20M,2.19,16.18,14.04,1.24,12.15,1.18,1.40,2.70,0.00,-6.97%,-19.20%,-16.21%,36.15,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.29M,18.13M,2.15%,2.76,32.00,-36.84%,16.80%,27.49,1.71,25.30%,156.10%,4.20%,-16.27%,83.10%,0.74%,0.12,0.43%,810,3.00
2018-11-05,19:00:56 ,27.00,-2.35%,"125,639",140.50K,515.97M,33.00M,453.20M,2.14,15.80,15.61,1.22,11.75,1.14,1.40,2.70,0.00,-8.16%,-20.53%,-18.12%,33.76,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.11M,18.27M,2.13%,2.77,28.00,-38.33%,14.05%,27.65,1.71,25.30%,156.10%,4.20%,-16.40%,81.60%,-0.41%,0.12,0.44%,810,3.00
2018-11-06,18:57:20 ,27.33,1.22%,"102,382",139.84K,522.28M,33.00M,453.20M,2.17,15.99,15.80,1.23,11.90,1.15,1.40,2.70,0.00,-5.89%,-18.93%,-17.05%,36.11,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.11M,18.27M,2.13%,2.79,28.00,-37.57%,15.44%,27.00,1.71,25.30%,156.10%,4.20%,-16.40%,81.60%,-0.41%,0.12,0.44%,810,3.00
2018-11-07,19:06:09 ,28.13,2.93%,"111,082",139.99K,537.56M,33.00M,453.20M,2.23,16.46,16.26,1.27,12.25,1.19,1.40,2.70,0.00,-1.99%,-15.95%,-14.55%,41.69,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.11M,18.27M,2.13%,2.78,28.00,-35.75%,18.82%,27.33,1.71,25.30%,156.10%,4.20%,-16.40%,81.60%,-0.41%,0.12,0.43%,810,3.00
2018-11-08,18:57:19 ,27.77,-1.28%,"101,136",140.04K,530.68M,33.00M,453.20M,2.20,16.25,16.05,1.25,12.09,1.17,1.40,2.70,0.00,-2.28%,-16.48%,-15.59%,39.67,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.11M,18.27M,2.13%,2.78,28.00,-36.57%,17.30%,28.13,1.71,25.30%,156.10%,4.20%,-16.40%,81.60%,-0.41%,0.12,0.43%,810,3.00
2018-11-09,19:38:05 ,27.86,0.32%,"122,661",137.54K,532.40M,33.00M,453.20M,2.21,16.30,16.10,1.25,12.13,1.17,1.40,2.70,0.00,-1.06%,-15.65%,-15.25%,40.32,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.11M,18.27M,2.13%,2.83,28.00,-36.36%,17.68%,27.77,1.71,25.30%,156.10%,4.20%,-16.40%,81.60%,-0.41%,0.12,0.43%,810,3.00
2018-11-12,21:38:38 ,27.72,-0.50%,"116,957",137.63K,531.12M,33.00M,453.20M,2.20,16.22,16.02,1.25,12.10,1.17,1.40,2.70,0.00,-0.75%,-15.52%,-15.61%,39.34,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.16M,18.27M,1.87%,2.48,28.00,-36.68%,17.09%,27.86,1.71,25.30%,156.10%,4.20%,-16.36%,82.60%,0.87%,0.12,0.43%,810,3.00
2018-11-13,19:06:25 ,27.88,0.58%,"91,579",137.68K,534.18M,33.00M,453.20M,2.21,16.31,16.12,1.25,12.17,1.18,1.40,2.70,0.00,0.64%,-14.48%,-15.06%,40.91,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.16M,18.27M,1.87%,2.48,28.00,-36.32%,17.77%,27.72,1.71,25.30%,156.10%,4.20%,-16.36%,82.60%,0.87%,0.12,0.43%,810,3.00
2018-11-14,18:58:33 ,27.86,-0.07%,"128,947",137.45K,533.80M,33.00M,453.20M,2.21,16.30,16.10,1.25,12.16,1.18,1.40,2.70,0.00,1.55%,-13.99%,-15.06%,40.46,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.16M,18.27M,1.87%,2.49,28.00,-36.36%,17.68%,27.88,1.71,25.30%,156.10%,4.20%,-16.36%,82.60%,0.87%,0.12,0.43%,810,3.00
2018-11-15,18:56:42 ,28.06,0.72%,"78,600",138.41K,537.63M,33.00M,453.20M,2.22,16.42,16.22,1.26,12.25,1.19,1.40,2.70,0.00,3.38%,-12.79%,-14.40%,42.76,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.16M,18.27M,1.87%,2.47,28.00,-35.91%,18.53%,27.86,1.71,25.30%,156.10%,4.20%,-16.36%,82.60%,0.87%,0.12,0.43%,810,3.00
2018-11-16,18:56:58 ,27.37,-2.46%,"105,635",137.54K,524.41M,33.00M,453.20M,2.17,16.02,15.82,1.23,11.95,1.16,1.40,2.70,0.00,0.67%,-14.37%,-16.47%,38.62,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.16M,18.27M,1.87%,2.48,28.00,-37.48%,15.61%,28.06,1.71,25.30%,156.10%,4.20%,-16.36%,82.60%,0.87%,0.12,0.44%,810,3.00
2018-11-19,18:56:18 ,27.14,-0.84%,"71,612",136.79K,521.63M,33.00M,453.20M,2.15,15.88,15.69,1.22,11.88,1.15,1.40,2.70,0.00,-0.27%,-14.49%,-17.13%,37.54,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.22M,18.27M,1.87%,2.50,28.00,-38.01%,14.64%,27.37,1.71,25.30%,156.10%,4.20%,-16.32%,80.20%,-2.08%,0.12,0.44%,810,3.00
2018-11-20,18:57:36 ,26.89,-0.92%,"107,541",135.52K,516.83M,33.00M,453.20M,2.13,15.73,15.54,1.21,11.77,1.14,1.40,2.70,0.00,-1.10%,-14.68%,-17.86%,36.55,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.22M,18.27M,1.87%,2.52,28.00,-38.58%,13.59%,27.14,1.71,25.30%,156.10%,4.20%,-16.32%,80.20%,-2.08%,0.12,0.45%,810,3.00
2018-11-21,18:56:44 ,26.92,0.11%,"46,376",133.88K,517.40M,33.00M,453.20M,2.13,15.75,15.56,1.21,11.79,1.14,1.40,2.70,0.00,-1.08%,-14.02%,-17.73%,36.98,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.22M,18.27M,1.87%,2.55,28.00,-38.51%,11.22%,26.89,1.71,25.30%,156.10%,4.20%,-16.32%,80.20%,-2.08%,0.12,0.45%,810,3.00
2018-11-23,18:57:04 ,26.66,-0.97%,"25,508",131.80K,512.41M,33.00M,453.20M,2.11,15.60,15.41,1.20,11.67,1.13,1.40,2.70,0.00,-2.19%,-14.25%,-18.48%,35.90,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.22M,18.27M,1.87%,2.59,28.00,-39.10%,9.70%,26.92,1.71,25.30%,156.10%,4.20%,-16.18%,80.20%,-2.08%,0.12,0.45%,810,3.00
2018-11-26,19:02:51 ,26.68,0.08%,"103,348",127.87K,517.86M,33.00M,453.20M,2.11,15.61,15.42,1.20,11.80,1.14,1.40,2.70,0.00,-2.15%,-13.59%,-18.37%,35.40,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.41M,18.27M,1.87%,2.67,28.00,-39.06%,7.77%,26.66,1.71,25.30%,156.10%,4.20%,-15.56%,80.20%,-2.04%,0.12,0.45%,810,3.00
2018-11-27,18:55:59 ,26.63,-0.19%,"82,954",127.89K,516.89M,33.00M,453.20M,2.11,15.58,15.39,1.20,11.77,1.14,1.40,2.70,0.00,-2.42%,-13.12%,-18.49%,34.03,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.41M,18.27M,1.87%,2.67,28.00,-39.17%,6.57%,26.68,1.71,25.30%,156.10%,4.20%,-15.56%,80.20%,-2.04%,0.12,0.45%,810,3.00
2018-11-28,18:54:45 ,27.49,3.23%,"96,279",127.12K,533.58M,33.00M,453.20M,2.18,16.09,15.89,1.24,12.15,1.18,1.40,2.70,0.00,0.71%,-9.70%,-15.81%,44.24,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.41M,18.27M,1.87%,2.69,28.00,-37.21%,8.09%,26.63,1.71,25.30%,156.10%,4.20%,-15.56%,80.20%,-2.04%,0.12,0.44%,810,3.00
2018-11-29,18:56:03 ,27.26,-0.84%,"54,715",127.53K,529.12M,33.00M,453.20M,2.16,15.95,15.76,1.23,12.05,1.17,1.40,2.70,0.00,-0.27%,-9.87%,-16.49%,42.54,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.41M,18.27M,1.87%,2.68,28.00,-37.73%,7.19%,27.49,1.71,25.30%,156.10%,4.20%,-15.56%,80.20%,-2.04%,0.12,0.44%,810,3.00
2018-11-30,18:56:33 ,27.54,1.03%,"82,904",127.07K,534.55M,33.00M,453.20M,2.18,16.11,15.92,1.24,12.18,1.18,1.40,2.70,0.00,0.55%,-8.39%,-15.60%,43.27,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.41M,18.27M,1.87%,2.69,28.00,-37.09%,8.29%,27.26,1.71,25.30%,156.10%,4.20%,-15.56%,80.20%,-2.04%,0.12,0.44%,810,3.00
2018-12-03,19:05:15 ,27.66,0.44%,"66,304",127.22K,526.37M,33.00M,453.20M,2.19,16.18,15.99,1.24,11.99,1.16,1.40,2.70,0.00,0.98%,-7.44%,-15.19%,44.42,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.03M,18.27M,2.25%,3.24,28.00,-36.82%,8.76%,27.54,1.71,25.30%,156.10%,4.20%,-15.82%,80.20%,-2.08%,0.12,0.43%,810,3.00
2018-12-04,18:57:35 ,25.86,-6.51%,"94,355",126.45K,492.12M,33.00M,453.20M,2.05,15.13,14.95,1.16,11.21,1.09,1.40,2.70,0.00,-5.59%,-12.96%,-20.67%,32.81,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.03M,18.27M,2.25%,3.26,28.00,-40.93%,1.68%,27.66,1.71,25.30%,156.10%,4.20%,-15.82%,80.20%,-2.08%,0.12,0.46%,810,3.00
2018-12-06,18:56:39 ,25.79,-0.27%,"164,711",125.86K,490.78M,33.00M,453.20M,2.04,15.09,14.91,1.16,11.18,1.08,1.40,2.70,0.00,-5.65%,-12.63%,-20.82%,32.22,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.03M,18.27M,2.25%,3.27,28.00,-41.09%,1.41%,25.86,1.71,25.30%,156.10%,4.20%,-15.82%,80.20%,-2.08%,0.12,0.47%,810,3.00
2018-12-07,18:56:32 ,25.56,-0.89%,"90,459",125.86K,486.41M,33.00M,453.20M,2.03,14.96,14.77,1.15,11.08,1.07,1.40,2.70,0.00,-6.23%,-12.84%,-21.48%,30.86,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.03M,18.27M,2.25%,3.27,28.00,-41.62%,1.31%,25.79,1.71,25.30%,156.10%,4.20%,-15.82%,80.20%,-2.08%,0.12,0.47%,810,3.00
2018-12-10,18:56:28 ,25.23,-1.29%,"162,714",125.66K,489.21M,33.00M,453.20M,2.00,14.76,14.58,1.14,11.14,1.08,1.40,2.70,0.00,-7.00%,-13.43%,-22.44%,29.27,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.39M,18.27M,2.25%,3.28,28.00,-42.37%,0.00%,25.56,1.71,25.30%,156.10%,4.20%,-15.22%,80.20%,-2.04%,0.12,0.48%,810,3.00
2018-12-11,18:56:03 ,25.16,-0.28%,"77,851",127.16K,487.85M,33.00M,453.20M,1.99,14.72,14.54,1.13,11.11,1.08,1.40,2.70,0.00,-6.83%,-13.08%,-22.60%,29.38,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.39M,18.27M,2.25%,3.24,28.00,-42.53%,1.74%,25.23,1.71,25.30%,156.10%,4.20%,-15.22%,80.20%,-2.04%,0.12,0.48%,810,3.00
2018-12-12,18:59:23 ,25.40,0.95%,"53,375",126.38K,492.51M,33.00M,453.20M,2.01,14.86,14.68,1.14,11.22,1.09,1.40,2.70,0.00,-5.46%,-11.60%,-21.81%,32.51,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.39M,18.27M,2.25%,3.26,28.00,-41.98%,2.71%,25.16,1.71,25.30%,156.10%,4.20%,-15.22%,80.20%,-2.04%,0.12,0.47%,810,3.00
2018-12-13,18:58:57 ,25.04,-1.42%,"74,870",124.76K,485.53M,33.00M,453.20M,1.98,14.65,14.47,1.13,11.06,1.07,1.40,2.70,0.00,-6.40%,-12.28%,-22.87%,30.69,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.39M,18.27M,2.25%,3.30,28.00,-42.80%,1.25%,25.40,1.71,25.30%,156.10%,4.20%,-15.22%,80.20%,-2.04%,0.12,0.48%,810,3.00
2018-12-14,18:56:07 ,24.67,-1.48%,"98,407",124.78K,478.35M,33.00M,453.20M,1.95,14.44,14.26,1.11,10.90,1.06,1.40,2.70,0.00,-7.29%,-13.03%,-23.97%,27.15,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.39M,18.27M,2.25%,3.30,28.00,-43.65%,-0.24%,25.04,1.71,25.30%,156.10%,4.20%,-15.22%,80.20%,-2.04%,0.12,0.49%,810,3.00
2018-12-17,18:55:07 ,24.56,-0.45%,"115,704",124.82K,479.17M,33.00M,453.20M,1.95,14.37,14.20,1.11,10.91,1.06,1.40,2.70,0.00,-7.15%,-12.76%,-24.27%,25.90,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,3.16,28.00,-43.90%,-0.08%,24.67,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.49%,810,3.00
2018-12-18,18:54:52 ,25.13,2.32%,"103,236",124.78K,490.29M,33.00M,453.20M,1.99,14.70,14.53,1.13,11.17,1.08,1.40,2.70,0.00,-4.36%,-10.07%,-22.47%,38.79,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,3.16,28.00,-42.60%,3.89%,24.56,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.48%,810,3.00
2018-12-19,18:54:53 ,24.04,-4.34%,"126,402",125.24K,469.02M,33.00M,453.20M,1.90,14.07,13.90,1.08,10.68,1.03,1.40,2.70,0.00,-8.12%,-13.41%,-25.80%,32.03,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,3.15,28.00,-45.09%,-0.62%,25.13,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.50%,810,3.00
2018-12-20,18:55:06 ,23.47,-2.37%,"215,020",125.35K,457.90M,33.00M,453.20M,1.86,13.73,13.57,1.06,10.43,1.01,1.40,2.70,0.00,-9.76%,-14.85%,-27.51%,28.12,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,3.14,28.00,-46.39%,-2.09%,24.04,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.51%,810,3.00
2018-12-21,18:54:53 ,22.84,-2.68%,"564,351",127.08K,445.61M,33.00M,453.20M,1.81,13.36,13.20,1.03,10.15,0.98,1.40,2.70,0.00,-11.60%,-16.49%,-29.40%,26.23,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,3.10,28.00,-47.83%,-2.35%,23.47,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.53%,810,3.00
2018-12-24,18:57:58 ,23.35,2.23%,"210,176",132.19K,455.56M,33.00M,453.20M,1.85,13.66,13.50,1.05,10.38,1.01,1.40,2.70,0.00,-8.91%,-13.93%,-27.76%,32.91,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,2.98,28.00,-46.67%,2.91%,22.84,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.51%,810,3.00
2018-12-25,18:56:52 ,23.35,2.23%,"210,176",132.19K,455.56M,33.00M,453.20M,1.85,13.66,13.50,1.05,10.38,1.01,1.40,2.70,0.00,-8.91%,-13.93%,-27.76%,32.91,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,2.98,28.00,-46.67%,2.91%,22.84,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.51%,810,3.00
2018-12-26,18:55:16 ,23.47,0.51%,"274,729",134.06K,457.90M,33.00M,453.20M,1.86,13.73,13.57,1.06,10.43,1.01,1.40,2.70,0.00,-7.85%,-12.87%,-27.32%,33.90,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,19.51M,18.26M,2.16%,2.94,28.00,-46.39%,5.57%,23.35,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.90%,0.12,0.51%,810,3.00
2018-12-27,18:55:29 ,23.45,-0.09%,"254,629",137.91K,440.86M,33.00M,453.20M,1.86,13.72,13.55,1.06,10.04,0.97,1.40,2.70,0.00,-7.34%,-12.36%,-27.32%,34.30,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.80M,18.26M,2.16%,2.86,28.00,-46.44%,5.48%,23.47,1.71,25.30%,156.10%,4.20%,-15.14%,80.20%,-1.97%,0.12,0.51%,810,3.00
2018-12-28,18:57:29 ,24.01,2.39%,"246,771",140.59K,451.39M,33.00M,453.20M,1.90,14.05,13.88,1.08,10.28,1.00,1.40,2.70,0.00,-4.53%,-9.68%,-25.51%,40.67,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.80M,18.26M,2.16%,2.80,28.00,-45.16%,8.00%,23.45,1.71,25.30%,156.10%,4.20%,-15.62%,80.20%,-1.97%,0.12,0.50%,810,3.00
2018-12-31,18:54:23 ,24.28,1.12%,"81,279",142.65K,456.46M,33.00M,453.20M,1.92,14.21,14.03,1.09,10.40,1.01,1.40,2.70,0.00,-2.78%,-8.02%,-24.61%,43.33,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.80M,18.26M,2.16%,2.76,28.00,-44.54%,9.21%,24.01,1.71,25.30%,156.10%,4.20%,-15.62%,80.20%,-1.97%,0.12,0.49%,810,3.00
2019-01-02,18:53:58 ,24.15,-0.54%,"277,294",141.68K,454.02M,33.00M,453.20M,1.91,14.13,13.96,1.09,10.34,1.00,1.40,2.70,0.00,-2.72%,-7.86%,-24.96%,43.10,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.80M,18.26M,2.16%,2.78,28.00,-44.84%,8.62%,24.28,1.71,25.30%,156.10%,4.20%,-15.62%,80.20%,-1.97%,0.12,0.50%,810,3.00
2019-01-03,19:07:10 ,24.06,-0.37%,"154,005",145.37K,452.33M,33.00M,453.20M,1.91,14.08,13.91,1.08,10.30,1.00,1.40,2.70,0.00,-2.42%,-7.99%,-25.17%,40.25,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.80M,18.26M,2.16%,2.71,28.00,-45.04%,8.22%,24.15,1.71,25.30%,156.10%,4.20%,-15.62%,80.20%,-1.97%,0.12,0.50%,810,3.00
2019-01-04,19:04:23 ,24.99,3.87%,"184,058",145.33K,469.81M,33.00M,453.20M,1.98,14.62,14.45,1.12,10.70,1.04,1.40,2.70,0.00,2.10%,-4.23%,-22.21%,50.31,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.80M,18.26M,2.16%,2.71,28.00,-42.92%,12.40%,24.06,1.71,25.30%,156.10%,4.20%,-15.62%,80.20%,-1.97%,0.12,0.48%,810,3.00
2019-01-07,18:58:15 ,25.04,0.20%,"81,852",146.85K,465.24M,33.00M,453.20M,1.98,14.65,14.47,1.13,10.60,1.03,1.40,2.70,0.00,2.49%,-3.84%,-22.01%,51.59,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.58M,18.26M,1.93%,2.40,28.00,-42.80%,12.63%,24.99,1.71,25.30%,156.10%,4.20%,-15.78%,80.60%,0.44%,0.12,0.48%,810,-
2019-01-08,18:56:03 ,25.26,0.88%,"62,288",146.97K,469.33M,33.00M,453.20M,2.00,14.78,14.60,1.14,10.69,1.04,1.40,2.70,0.00,3.55%,-2.89%,-21.27%,53.29,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.58M,18.26M,1.93%,2.40,28.00,-42.30%,13.62%,25.04,1.71,25.30%,156.10%,4.20%,-15.78%,80.60%,0.44%,0.12,0.48%,810,-
2019-01-09,18:56:12 ,25.04,-0.87%,"199,020",146.68K,465.24M,33.00M,453.20M,1.98,14.65,14.47,1.13,10.60,1.03,1.40,2.70,0.00,2.71%,-3.68%,-21.92%,49.60,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.58M,18.26M,1.93%,2.40,28.00,-42.80%,12.63%,25.26,1.71,25.30%,156.10%,4.20%,-15.78%,80.60%,0.44%,0.12,0.48%,810,-
2019-01-10,18:57:24 ,25.13,0.36%,"100,616",147.62K,466.92M,33.00M,453.20M,1.99,14.70,14.53,1.13,10.64,1.03,1.40,2.70,0.00,3.12%,-3.23%,-21.61%,51.11,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.58M,18.26M,1.93%,2.39,28.00,-42.60%,13.03%,25.04,1.71,25.30%,156.10%,4.20%,-15.78%,80.60%,0.44%,0.12,0.48%,810,-
2019-01-11,18:54:58 ,24.96,-0.68%,"108,775",146.35K,463.76M,33.00M,453.20M,1.98,14.61,14.43,1.12,10.56,1.02,1.40,2.70,0.00,2.43%,-3.81%,-22.10%,48.88,12.30%,16.10%,13.60%,15.60%,9.40%,8.00%,18.58M,18.26M,1.93%,2.41,28.00,-42.99%,12.27%,25.13,1.71,25.30%,156.10%,4.20%,-15.78%,80.60%,0.44%,0.12,0.48%,810,-
