date,title,source
Oct-24-18,New Strong Sell Stocks for October 24th,Zacks
Oct-26-18,Why Is Actuant (ATU) Down 15.3% Since Last Earnings Report?,Zacks
Oct-29-18,"Market Trends Toward New Normal in Polaris Industries, NIKE, Charles River Laboratories International, Actuant, Caesarstone, and Enzo Biochem  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Oct-30-18,New Strong Sell Stocks for October 30th,Zacks
Nov-27-18,"Actuant Gains From Solid Sales, Rising Cost Remains a Drag",Zacks
Dec-13-18,Actuant (ATU) Reports Next Week: Wall Street Expects Earnings Growth,Zacks
Dec-19-18,Hedge Funds Are Crazy About Actuant Corporation (ATU),Insider Monkey
Dec-20-18,Actuant (ATU) Q1 Earnings Beat Estimates,Zacks
Dec-20-18,Actuant: Fiscal 1Q Earnings Snapshot,Associated Press
Dec-20-18,Actuant Reports First Quarter 2019 Results; Updates Full Year 2019 Outlook,Business Wire
Dec-21-18,"Actuant (ATU) Beats Q1 Earnings Estimates, Lowers Sales View",Zacks
