date,title,source
Oct-17-18,"Report: Exploring Fundamental Drivers Behind Bellicum Pharmaceuticals, Social Reality, Exelixis, Edgewell Personal Care, Cronos Group, and Acacia Communications  New Horizons, Emerging Trends, and Upcoming Developments",GlobeNewswire
Oct-22-18,"Edgewell Personal Care Company To Webcast A Discussion Of Fourth Quarter And Fiscal Year 2018 Results On November 13, 2018",PR Newswire
Oct-22-18,"Northvolt to set up Polish battery plant to tap mining, storage markets",Reuters
Oct-22-18,"EU regulators to rule on $2 bln Energizer, Spectrum deal by Nov. 27",Reuters
Oct-24-18,Pen maker BIC's shares surge on third-quarter rebound,Reuters
Oct-29-18,Edgewell Personal Care Appoints George Corbin and Robert Black to the Company's Board of Directors,PR Newswire
Nov-06-18,Edgewell Personal Care (EPC) Earnings Expected to Grow: Should You Buy?,Zacks
Nov-08-18,Energizer Holdings (ENR) Reports Next Week: Wall Street Expects Earnings Growth,Zacks
Nov-13-18,Edgewell Personal Care Co (EPC) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Nov-13-18,Edgewell Personal Care (EPC) Q4 Earnings Top Estimates,Zacks
Nov-13-18,Is Edgewell Personal Care Companys (NYSE:EPC) CEO Pay Justified?,Simply Wall St.
Nov-13-18,Edgewell Personal: Fiscal 4Q Earnings Snapshot,Associated Press
Nov-13-18,Edgewell Personal Care Announces Fourth Quarter and Fiscal 2018 Results and Provides Fiscal Year 2019 Financial Outlook,PR Newswire
Nov-14-18,Here Are Factors Influencing Energizer's (ENR) Q4 Earnings,Zacks
Nov-15-18,[$$] Energizer to Acquire Another Spectrum Unit,The Wall Street Journal
Nov-15-18,Energizer Holdings Inc (ENR) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Nov-15-18,Energizer to Buy Spectrum Auto Care Business for $1.25 Billion,TheStreet.com
Nov-15-18,"Energizer adds Armor All, STP brands in $1.25 bln Spectrum deal",Reuters
Nov-15-18,Spectrum Brands to sell global auto care business to Energizer for $1.25 bln,Reuters
Nov-15-18,Energizer Holdings (ENR) Q4 Earnings and Revenues Beat Estimates,Zacks
Nov-15-18,Energizer: Fiscal 4Q Earnings Snapshot,Associated Press
Nov-16-18,Energizer (ENR) Surpasses Earnings & Sales Estimates in Q4,Zacks
Nov-16-18,"Spectrum Brands to Sell Global Auto Care Business, Stock Down",Zacks
Nov-19-18,"Spectrum Brands Holdings, Inc. (SPB) Q4 2018 Earnings Conference Call Transcript",Motley Fool
Nov-19-18,Spectrum Brands Sinks to Lowest in 5 Years on Weak Fourth Quarter Results,Bloomberg
