date,title,source
Oct-17-18,Estimated $32M in new hotels planned near Disney's Flamingo Crossings development,American City Business Journals
Oct-18-18,Hotel strike is dealing a blow to Marriott's Bay Area business,American City Business Journals
Oct-18-18,"New Online Experience Makes It Easier to Plan Events at 5,400 IHG Hotels Worldwide",PR Newswire
Oct-19-18,InterContinental Hotels' lacklustre numbers send shares down 5.8 percent,Reuters
Oct-19-18,"Intercontinental, Easyjet lead Britain's FTSE lower",Reuters
Oct-19-18,InterContinental Hotels Group dishes out $500m special divi after London boom,Evening Standard
Oct-19-18,IHG hotel room revenue climbs on China demand;,Reuters
Oct-19-18,"European markets open mixed amid earnings; Brexit, Italy remain in focus",CNBC
Oct-23-18,Women who Mean Business: Intercontinental Hotels Group's Laura Miller,American City Business Journals
Oct-24-18,Hyatt Hotels ranks high in new TripAdvisor hotel chain survey,American City Business Journals
Oct-30-18,IHG and IHG Owners Association Announce Renovation Donation Initiative,PR Newswire
Nov-09-18,New Holiday Inn hotel planned near Universal Orlando's I-Drive land,American City Business Journals
Nov-30-18,InterContinental(R) Hotels & Resorts Celebrates 200 Captivating Destinations,PR Newswire
Dec-03-18,"Marriott, hotel workers reach tentative agreement to end strike",American City Business Journals
Dec-11-18,Canadians are embracing the chill in favour of cold-weather vacations,CNW Group
Dec-19-18,How hotels are responding to the rise of Airbnb,American City Business Journals
Jan-02-19,Mayfair Street Partners plans to have Hotel Indigo open prior to big Triad weekend,American City Business Journals
Jan-04-19,Is InterContinental Hotels Group PLC (LON:IHG) An Attractive Dividend Stock?,Simply Wall St.
Jan-18-19,See inside: Hotel Indigo Memphis Downtown opens retro doors for guests,American City Business Journals
Feb-04-19,Read This Before Buying InterContinental Hotels Group PLC (LON:IHG) Shares,Simply Wall St.
