date,title,source
Oct-17-18,Zillow Group Appoints Amy Bohutinsky to Board of Directors; Names Aimee Johnson Chief Marketing Officer and Jennifer Rock Chief Accounting Officer,PR Newswire
Oct-17-18,Zillow to Receive Listings from Redline Real Estate Canada,PR Newswire
Oct-17-18,Renters in Las Vegas and Raleigh Get the Most Space for Their Money,PR Newswire
Oct-18-18,Why many Bay Area renters are locked into the rental market,American City Business Journals
Oct-18-18,Rents Decline Annually for the First Time in Six Years,PR Newswire
Oct-22-18,Denver home sellers can now get cash offers directly from Zillow,American City Business Journals
Oct-22-18,CBJ Morning Buzz: Charlotte bucking trend on rent decline?; Regional towns eye transit; Contract awarded for I-485 toll lanes,American City Business Journals
Oct-22-18,Zillow Begins Buying and Selling Homes in Denver,PR Newswire
Oct-23-18,"Higher mortgage rates, rising prices costing homebuyers more than $1,200 a year",CNBC
Oct-23-18,It Takes Seven Years to Save for a Down Payment,PR Newswire
Oct-24-18,"New Research Coverage Highlights Nektar Therapeutics, General Mills, Yelp, Zillow Group, Tutor Perini, and Hormel Foods  Consolidated Revenues, Company Growth, and Expectations for 2018",GlobeNewswire
Oct-24-18,How Charlotte homebuyers are feeling the effects of rising mortgage rates,American City Business Journals
Oct-25-18,No Fear of Freddy? Buying on Elm Street Can Be a Bargain,PR Newswire
Oct-25-18,3 Growth Stocks to Buy and Hold for 25 Years,Motley Fool
Oct-25-18,Manhattan Home Prices See Largest Drop Since Financial Crisis,PR Newswire
Oct-26-18,Cover Story: Online homebuying service companies rattle Triangles traditional housing market,American City Business Journals
Oct-29-18,"Zillow Group Announces ""Best of Zillow"" Program, Empowering Agents to Deliver Exceptional Customer Experiences and Transform Their Businesses through Data, Feedback",PR Newswire
Oct-30-18,Ron Baron's 3rd Quarter Baron Partners Fund Shareholder Letter,GuruFocus.com
Oct-30-18,Analysts Estimate Zillow Group (ZG) to Report a Decline in Earnings: What to Look Out for,Zacks
Oct-30-18,Buyers Gaining Negotiating Power in Some Surprising Markets,PR Newswire
Oct-31-18,Seattle makes Zillow's best places to buy a home list in latest sign of housing market's turn,American City Business Journals
Oct-31-18,"Zillow Group to Attend the 2018 RBC Capital Markets Technology, Internet, Media and Telecommunications Conference",GlobeNewswire
Nov-01-18,Zillow Group Completes Acquisition of Mortgage Lenders of America,PR Newswire
Nov-01-18,Families with Newborns Moved to Cheaper Housing Markets,PR Newswire
Nov-05-18,Online housing transactions on the upswing in metro Phoenix,American City Business Journals
Nov-05-18,Seattle-based tech co. to launch cash home offer platform in Houston,American City Business Journals
Nov-05-18,Zillow to Expand Buying and Selling Homes in Houston,PR Newswire
Nov-06-18,Zillow Group Inc (Z) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Nov-06-18,Zillow Group (ZG) Beats Q3 Earnings Estimates,Zacks
Nov-06-18,Zillow Just Proved It Doesn't Set Expectations Well,Bloomberg
Nov-06-18,"Stocks making the biggest moves after hours: Wendy's, Zillow and more",CNBC
Nov-06-18,Zillow: 3Q Earnings Snapshot,Associated Press
Nov-06-18,Zillow Group Third Quarter 2018 Revenue Increased 22% Year-Over-Year,GlobeNewswire
