date,title,source
Oct-17-18,5 Top Stocks to Buy Now on Renewed Homebuilder Confidence,Zacks
Oct-18-18,"Toll Brothers Founder Robert I. Toll Steps Down as Executive Chairman; CEO Douglas C. Yearley, Jr. Elected as Chairman",GlobeNewswire
Oct-18-18,"The Zacks Analyst Blog Highlights: Toll Brothers, Fastenal, American Woodmark, Haverty Furniture and RH",Zacks
Oct-18-18,"More Bad News for Builders With BofA Downgrades, RBC Gloom",Bloomberg
Oct-18-18,Bank of America downgrades homebuilder stocks as Wall Street grows increasingly bearish on housing,CNBC
Oct-19-18,"Zacks Value Trader Highlights: American Woodmark, EMCOR, Toll Brothers, SYNNEX and TTM",Zacks
Oct-22-18,Toll Brothers' Stock Looks Like it Is Heading Into the Basement,TheStreet.com
Oct-22-18,"Deutsche Bank Turns Cautious On Homebuilders, But Upgrades Lennar, Meritage",Benzinga
Oct-22-18,"NVR Earnings Surpass Estimates in Q3, Margin Woes Linger",Zacks
Oct-22-18,Edge-on-Hudson Milestone: Home Construction Begins and Sales Gallery Opens at Long-Awaited Development in Sleepy Hollow,PR Newswire
Oct-23-18,Buy The Dip In Home Builders? A Technical And Fundamental Perspective,Benzinga
Oct-24-18,Today's Research Reports on Trending Tickers: Toll Brothers and Lennar,ACCESSWIRE
Oct-25-18,Why this Valley homebuilder is bullish on building affordable homes,American City Business Journals
Oct-25-18,"Report: Exploring Fundamental Drivers Behind Invitae, Aerie Pharmaceuticals, Gevo, Global Medical REIT, Cyclacel Pharmaceuticals, and Toll Brothers  New Horizons, Emerging Trends, and Upcoming Developments",GlobeNewswire
Oct-25-18,Toll Brothers invests $250M to build thousands of homes in the West Valley,American City Business Journals
Oct-25-18,Trending: Chinese Stocks at Four-Year Lows Amid Fears of Deepening Trade Spat,ETF Database
Oct-29-18,Pulte Homes buys Peoria land from Toll Brothers,American City Business Journals
Oct-29-18,Three options strategies for the week: Oct 29,CNBC
Oct-30-18,Homebuilding Industry Outlook: Margin Woes to Continue,Zacks
Nov-01-18,Should You Worry About Toll Brothers Incs (NYSE:TOL) CEO Salary Level?,Simply Wall St.
Nov-05-18,Why Toll Brothers (TOL) Could Beat Earnings Estimates Again,Zacks
Nov-05-18,Three options strategies for the week: Nov 5,CNBC
Nov-12-18,"Stocks - Alibaba, Ford Fall in Pre-market; Apptio Skyrockets; UPS Gains",Investing.com
Nov-12-18,"This Pension Is Buying Up Alibaba, Disney and DowDuPont Stock",Barrons.com
Nov-13-18,"Toll Brothers Website to Broadcast Its December 5, 2018 Fiscal 2018 Year-End Earnings Conference Call Live",GlobeNewswire
Nov-14-18,Beacon Roofing (BECN) to Post Q4 Earnings: What's in Store?,Zacks
Nov-16-18,"KB Home Slumps on Guidance Cut, Drags Other Home Builders",Zacks
Nov-20-18,Homebuilder Confidence Hits 2-Year Low: Rising Costs Pinch,Zacks
Nov-20-18,Why Homebuilder Stocks May Rebound From a Bear Market Drop,Investopedia
Nov-26-18,Consider This Before Buying Toll Brothers Inc (NYSE:TOL) For The 1.4% Dividend,Simply Wall St.
Nov-27-18,Toll Brothers (TOL) Reports Next Week: Wall Street Expects Earnings Growth,Zacks
Nov-28-18,Home builders' stocks dive after disappointing new-home sales data,MarketWatch
Nov-28-18,"New-home sales tick down, inventory surges as housing market outlook darkens",MarketWatch
Nov-28-18,Toll Brothers (TOL) to Post Q4 Earnings: Is a Beat in Store?,Zacks
Nov-28-18,Home-Builder Stocks Shrug Off Bad News,Barrons.com
Nov-28-18,[$$] Homebuilder stocks weighed down by surprise drop in new home sales,Financial Times
