date,title,source
Oct-31-18,"Catalyst Pharmaceuticals to Hold Third Quarter Financial Results and Corporate Update Conference Call and Webcast on Thursday, November 8th, 2018",GlobeNewswire
Nov-07-18,Catalyst: 3Q Earnings Snapshot,Associated Press
Nov-07-18,Catalyst Pharmaceuticals Announces Third Quarter 2018 Financial Results and Provides Corporate Update,GlobeNewswire
Nov-19-18,Edited Transcript of CPRX earnings conference call or presentation 8-Nov-18 1:30pm GMT,Thomson Reuters StreetEvents
Nov-20-18,Do Options Traders Know Something About Catalyst (CPRX) Stock We Don't?,Zacks
Nov-28-18,U.S. FDA approves Catalyst Pharma's rare disease drug,Reuters
Nov-29-18,Why Catalyst Pharmaceuticals Stock Is Sinking Today,Motley Fool
Nov-29-18,FDA approves new drug developed by Coral Gables company,American City Business Journals
Nov-29-18,Catalyst's Firdapse Receives FDA Approval for Rare Disease,Zacks
Nov-29-18,Today's Research Reports on Trending Tickers: Alliqua BioMedical and Catalyst Pharmaceuticals,ACCESSWIRE
Nov-30-18,Why Catalyst Pharmaceuticals Stock Fell Again Today,Motley Fool
Dec-11-18,"Report: Exploring Fundamental Drivers Behind Sabre, Catalyst Pharmaceuticals, Renewable Energy Group, Luminex, Parker Drilling, and Apollo Endosurgery  New Horizons, Emerging Trends, and Upcoming Developments",GlobeNewswire
Dec-14-18,"Does Catalyst Pharmaceuticals, Inc. (NASDAQ:CPRX) Have A Volatile Share Price?",Simply Wall St.
Dec-18-18,Catalyst Pharmaceuticals Announces Definitive Agreement with Endo for Vigabatrin Tablets,GlobeNewswire
Dec-19-18,"Should You Buy Catalyst Pharmaceuticals, Inc. (CPRX)?",Insider Monkey
