date,title,source
Oct-19-18,Exclusive: Global investor KKR to buy Oakland landmark for $255 million,American City Business Journals
Oct-23-18,Boston Properties to Participate in the NAREIT REITWorld 2018 Annual Conference,Business Wire
Oct-23-18,Boston Properties Earns Top ESG Rating and Executes Sustainable Development Strategy at Salesforce Tower,Business Wire
Oct-24-18,Boston Properties (BXP) to Post Q3 Earnings: A Beat in Store?,Zacks
Oct-29-18,Why Boston Properties (BXP) Might Surprise This Earnings Season,Zacks
Oct-30-18,Boston Properties: 3Q Earnings Snapshot,Associated Press
Oct-30-18,Boston Properties Announces Third Quarter 2018 Results of $0.77 GAAP EPS and $1.64 FFO Per Share,Business Wire
Oct-31-18,"Boston Properties (BXP) Tops Q3 FFO Estimates, Issues '19 View",Zacks
Nov-01-18,Edited Transcript of BXP earnings conference call or presentation 31-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-02-18,Edited Transcript of BXP earnings conference call or presentation 31-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-05-18,A huge S.F. office lease is in the works  but this tenant isn't a tech company,American City Business Journals
Nov-05-18,"Report: Developing Opportunities within Denbury Resources, Boston Properties, Ingevity, Terex, A10 Networks, and Commercial Metals  Future Expectations, Projections Moving into 2018",GlobeNewswire
Nov-08-18,Edited Transcript of BXP earnings conference call or presentation 31-Oct-18 2:00pm GMT,Thomson Reuters StreetEvents
Nov-12-18,First look: New transit village brings 385 apartments next to BART to Oakland,American City Business Journals
Nov-13-18,Boston Properties Prices $1.0 Billion Offering of Green Bonds,Business Wire
Nov-14-18,Kimco's Pentagon Centre to Capitalize on Amazon's HQ2 Pick,Zacks
Nov-14-18,Junk Bonds Have an Oil Problem...Maybe,Barrons.com
Nov-15-18,Boston Properties (BXP) Prices $1B Bond in Green Financing,Zacks
Nov-20-18,Vornado (VNO) Refinances $205M Loan for 150 West 34th Street,Zacks
