date,action,name,rate,target
Oct-31-18,Downgrade,BofA/Merrill,Buy to Neutral,
Nov-08-18,Reiterated,Cowen,Outperform,$80 to $73
Nov-08-18,Reiterated,Canaccord Genuity,Buy,$86 to $75
Nov-08-18,Reiterated,BofA/Merrill,Neutral,$70 to $67
Jan-31-19,Reiterated,UBS,Neutral,$64 to $55
Jan-31-19,Reiterated,Susquehanna,Positive,$75 to $65
Jan-31-19,Reiterated,Mizuho,Buy,$66 to $62
Jan-31-19,Reiterated,Cowen,Outperform,$73 to $70
Jan-31-19,Reiterated,Citigroup,Neutral,$62 to $55
Jan-31-19,Reiterated,BofA/Merrill,Neutral,$67 to $60
Apr-17-19,Upgrade,Stifel,Hold to Buy,$57 to $100
Apr-17-19,Upgrade,JP Morgan,Neutral to Overweight,$54 to $88
Apr-17-19,Upgrade,Evercore ISI,In-line to Outperform,
Apr-17-19,Reiterated,Cowen,Outperform,$70 to $91
Apr-17-19,Reiterated,Canaccord Genuity,Buy,$75 to $89
Apr-17-19,Reiterated,BofA/Merrill,Neutral,$60 to $71
