date,title,source
Oct-26-18,"New Research Coverage Highlights Michael Kors, TerraForm Power, Investors Real Estate Trust, Nutanix, Koninklijke Philips N.V, and Otter Tail  Consolidated Revenues, Company Growth, and Expectations for 2018",GlobeNewswire
Oct-29-18,Otter Tail Corporation Will Host Conference Call on Third Quarter 2018 Financial Results,GlobeNewswire
Oct-31-18,This is Why Otter Tail (OTTR) is a Great Dividend Stock,Zacks
Nov-05-18,Otter Tail: 3Q Earnings Snapshot,Associated Press
Nov-05-18,Otter Tail Corporation Announces Third Quarter Earnings,GlobeNewswire
Nov-12-18,Edited Transcript of OTTR earnings conference call or presentation 6-Nov-18 4:00pm GMT,Thomson Reuters StreetEvents
Nov-13-18,Why I Like Otter Tail Corporation (NASDAQ:OTTR),Simply Wall St.
Nov-29-18,5 Stocks to Buy Amid Rising Trade Risks and Fed Rates,Zacks
Dec-06-18,"The Zacks Analyst Blog Highlights: Otter, Atlantic, Middlesex, WEC and Consolidated Water",Zacks
Dec-10-18,December Stock Market Rout Intensifies: 5 Top Utility Picks,Zacks
Dec-11-18,"The Zacks Analyst Blog Highlights: Middlesex Water, Otter Tail, Consolidated Water, ONE Gas and Ameren",Zacks
Dec-14-18,Bet on These 5 Low-Beta Stocks to Fight Market Volatility,Zacks
Dec-17-18,Industrial Production Rises in November: 5 Utilities Picks,Zacks
Dec-17-18,SCANA (SCG) in Focus: Stock Moves 6.3% Higher,Zacks
Dec-18-18,"Zacks.com featured highlights include: Abercrombie, Dr. Reddy???s, Cree, Otter and Shenandoah",Zacks
Dec-18-18,Fourth Rate Hike Likely to Raise Volatility: 5 Defensive Picks,Zacks
Dec-19-18,Is Otter Tail (OTTR) Outperforming Other Utilities Stocks This Year?,Zacks
Dec-20-18,3 Utilities to Add to Your Portfolio Amid Fed Rate Hike,Zacks
Dec-20-18,Fed Lowers GDP Estimates for 2018 & 2019: 5 Defensive Picks,Zacks
Dec-20-18,Fed Ignores Markets' Rate Hike Woes: 5 Utilities Picks,Zacks
Dec-24-18,Cincinnati Bell (CBB) Displays Bright Prospects Amid Risks,Zacks
Jan-11-19,Fed to Go Easy With Rate Hikes in 2019: Top 5 Gainers,Zacks
Jan-14-19,"The Zacks Analyst Blog Highlights: NextEra, Otter, Ameren, KBR and Great Lakes",Zacks
Jan-17-19,Why Otter Tail Corporation (NASDAQ:OTTR) Should Be In Your Portfolio,Simply Wall St.
Feb-05-19,Otter Tail Corporation Increases Quarterly Dividend,GlobeNewswire
Feb-06-19,Should We Be Delighted With Otter Tail Corporations (NASDAQ:OTTR) ROE Of 12%?,Simply Wall St.
Feb-19-19,Otter Tail Corp (OTTR) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Feb-19-19,Otter Tail Corporation to Host Earnings Call,ACCESSWIRE
Feb-19-19,Otter Tail: 4Q Earnings Snapshot,Associated Press
Feb-20-19,Edited Transcript of OTTR earnings conference call or presentation 19-Feb-19 4:00pm GMT,Thomson Reuters StreetEvents
Feb-21-19,"Detailed Research: Economic Perspectives on The J. M. Smucker, West Pharmaceutical Services, Franklin Electric Co., Accenture, LiveXLive Media, and Otter Tail  What Drives Growth in Today's Competitive Landscape",GlobeNewswire
Feb-25-19,Is Otter Tail Corporations (NASDAQ:OTTR) High P/E Ratio A Problem For Investors?,Simply Wall St.
Mar-15-19,Otter Tail (NASDAQ:OTTR) Shareholders Have Enjoyed A 76% Share Price Gain,Simply Wall St.
Mar-25-19,US Bankrolls Southern Co.'s Vogtle With $3.7B Loan Guarantee,Zacks
Mar-25-19,Yield Curve Inversion Signals Recession: 5 Utility Picks,Zacks
Mar-26-19,"The Zacks Analyst Blog Highlights: Otter, Pinnacle, NextEra, ONEOK and PNM",Zacks
Apr-02-19,Who Has Been Selling Otter Tail Corporation (NASDAQ:OTTR) Shares?,Simply Wall St.
Apr-08-19,Otter Tail Corporation held its 109th Annual Meeting of Shareholders,GlobeNewswire
Apr-10-19,Global Economic Growth Concerns Resurface: 5 Safe Picks,Zacks
Apr-11-19,"The Zacks Analyst Blog Highlights: MGP Ingredients, Medifast, Ubiquiti Networks, Yield10 Bioscience and Otter Tail",Zacks
Apr-11-19,Fed Minutes Reiterate Dovish Stance: 5 Excellent Picks,Zacks
