date,title,source
Oct-26-18,"New Research Coverage Highlights Michael Kors, TerraForm Power, Investors Real Estate Trust, Nutanix, Koninklijke Philips N.V, and Otter Tail  Consolidated Revenues, Company Growth, and Expectations for 2018",GlobeNewswire
Oct-29-18,Otter Tail Corporation Will Host Conference Call on Third Quarter 2018 Financial Results,GlobeNewswire
Oct-31-18,This is Why Otter Tail (OTTR) is a Great Dividend Stock,Zacks
Nov-05-18,Otter Tail: 3Q Earnings Snapshot,Associated Press
Nov-05-18,Otter Tail Corporation Announces Third Quarter Earnings,GlobeNewswire
Nov-12-18,Edited Transcript of OTTR earnings conference call or presentation 6-Nov-18 4:00pm GMT,Thomson Reuters StreetEvents
Nov-13-18,Why I Like Otter Tail Corporation (NASDAQ:OTTR),Simply Wall St.
Nov-29-18,5 Stocks to Buy Amid Rising Trade Risks and Fed Rates,Zacks
Dec-06-18,"The Zacks Analyst Blog Highlights: Otter, Atlantic, Middlesex, WEC and Consolidated Water",Zacks
Dec-10-18,December Stock Market Rout Intensifies: 5 Top Utility Picks,Zacks
Dec-11-18,"The Zacks Analyst Blog Highlights: Middlesex Water, Otter Tail, Consolidated Water, ONE Gas and Ameren",Zacks
Dec-14-18,Bet on These 5 Low-Beta Stocks to Fight Market Volatility,Zacks
Dec-17-18,Industrial Production Rises in November: 5 Utilities Picks,Zacks
Dec-17-18,SCANA (SCG) in Focus: Stock Moves 6.3% Higher,Zacks
Dec-18-18,"Zacks.com featured highlights include: Abercrombie, Dr. Reddy???s, Cree, Otter and Shenandoah",Zacks
Dec-18-18,Fourth Rate Hike Likely to Raise Volatility: 5 Defensive Picks,Zacks
Dec-19-18,Is Otter Tail (OTTR) Outperforming Other Utilities Stocks This Year?,Zacks
Dec-20-18,3 Utilities to Add to Your Portfolio Amid Fed Rate Hike,Zacks
Dec-20-18,Fed Lowers GDP Estimates for 2018 & 2019: 5 Defensive Picks,Zacks
Dec-20-18,Fed Ignores Markets' Rate Hike Woes: 5 Utilities Picks,Zacks
