date,title,source
Oct-17-18,Wall Street Remains Firm Despite Volatility: 5 Growth Picks,Zacks
Oct-19-18,Denbury Resources (DNR) Dips More Than Broader Markets: What You Should Know,Zacks
Oct-23-18,EQT Corp (EQT) Gears Up for Q3 Earnings: Is a Beat in Store?,Zacks
Oct-23-18,Valero and Valero Energy Partners Ink $950M Merger Deal,Zacks
Oct-24-18,Range Resources (RRC) Q3 Earnings Beat on Record Production,Zacks
Oct-29-18,Denbury Announces Release Date for Third Quarter 2018 Results and Conference Call,GlobeNewswire
Oct-29-18,Can Denbury Benefit from $1.7B Penn Virginia Acquisition?,Zacks
Oct-29-18,"Red Hat, GM and US Bancorp jump while First Data skids",Associated Press
Oct-29-18,"Why Amazon.com, Tilray, and Denbury Resources Slumped Today",Motley Fool
Oct-29-18,ALERT: Rowley Law PLLC is Investigating Proposed Acquisition of Penn Virginia Corp.,PR Newswire
Oct-29-18,Why Denbury Resources Inc. Stock Is Tanking Today,Motley Fool
Oct-29-18,"Stocks - RedHat Soars in Pre-market, IBM Falls, Tesla, Ford Jump",Investing.com
Oct-29-18,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Investors of an Investigation Regarding Whether the Sale of Penn Virginia Corporation to Denbury Resources Inc. is Fair to Shareholders",GlobeNewswire
Oct-29-18,Houston upstream energy co. to be acquired by Plano co. for $1.7B,American City Business Journals
Oct-30-18,Denbury Resources (DNR) Gains But Lags Market: What You Should Know,Zacks
Oct-30-18,"Oil & Gas Stock Roundup: TOTAL, ConocoPhillips & Valero's Q3",Zacks
Oct-30-18,Its Short Story Time for Shale Frackers,Bloomberg
Oct-30-18,Todays Research Reports on Stocks to Watch: Tesla and Denbury Resources,ACCESSWIRE
Oct-31-18,"The Zacks Analyst Blog Highlights: TOTAL S.A., ConocoPhillips, Valero Energy, National Oilwell Varco and Denbury Resources",Zacks
Nov-01-18,PENN VIRGINIA CORPORATION SHAREHOLDER ALERT: Former SEC Attorney Willie Briscoe Believes the Acquisition by Denbury Resources Inc. May be Unfair to Shareholders,ACCESSWIRE
Nov-01-18,"MERGER ALERT  RHT and PVAC: Levi & Korsinsky, LLP Reminds Investors of Investigations Concerning the Sale of these Companies",GlobeNewswire
Nov-01-18,Is Denbury Resources (DNR) Outperforming Other Oils-Energy Stocks This Year?,Zacks
Nov-01-18,Can Denbury Resources Inc (NYSE:DNR) Maintain Its Strong Returns?,Simply Wall St.
Nov-05-18,"PENN VIRGINIA INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of Penn Virginia Corporation - PVAC",PR Newswire
Nov-05-18,Why Denbury Resources Inc. Stock Cratered More than 40% in October,Motley Fool
Nov-05-18,"Report: Developing Opportunities within Denbury Resources, Boston Properties, Ingevity, Terex, A10 Networks, and Commercial Metals  Future Expectations, Projections Moving into 2018",GlobeNewswire
Nov-06-18,5 Bullish Stocks For Tuesday's Trading,Benzinga
Nov-06-18,Denbury (DNR) to Post Q3 Earnings: What's in the Offing?,Zacks
Nov-08-18,Denbury Resources Inc. Rebound Hit a Speed Bump in Q3,Motley Fool
Nov-08-18,Denbury Resources (DNR) Q3 Earnings and Revenues Surpass Estimates,Zacks
Nov-08-18,Denbury Resources: 3Q Earnings Snapshot,Associated Press
Nov-08-18,Denbury Reports Third Quarter 2018 Results,GlobeNewswire
Nov-09-18,"Denbury (DNR) Beats Earnings, Revenue Estimates in Q3",Zacks
Nov-12-18,Denbury Resources to Present at Bank of America Merrill Lynch 2018 Global Energy Conference,GlobeNewswire
