date,title,source
Oct-22-18,"Report: Developing Opportunities within Balchem, STERIS plc, Tableau Software, Werner Enterprises, Wabco, and Weis Markets  Future Expectations, Projections Moving into 2018",GlobeNewswire
Oct-30-18,Weis Markets Announces Quarterly Dividend,PR Newswire
Oct-30-18,Has Weis Markets Inc (NYSE:WMK) Improved Earnings Growth In Recent Times?,Simply Wall St.
Dec-21-18,"How Does Weis Markets, Inc. (NYSE:WMK) Fare As A Dividend Stock?",Simply Wall St.
Jan-16-19,"Should You Worry About Weis Markets, Inc.s (NYSE:WMK) CEO Pay Cheque?",Simply Wall St.
Feb-04-19,"New Research Coverage Highlights Canopy Growth, Philip Morris International, HudBay Minerals, Weis Markets, Polaris Industries, and Titan Machinery  Consolidated Revenues, Company Growth, and Expectations for 2019",GlobeNewswire
Feb-07-19,Weis Markets Announces Quarterly Dividend,PR Newswire
Feb-11-19,"3 Days Left Until Weis Markets, Inc. (NYSE:WMK) Trades Ex-Dividend",Simply Wall St.
Feb-13-19,3 Supermarket Stocks to Load in the Cart,Investopedia
Mar-06-19,"Does Weis Markets, Inc. (NYSE:WMK) Create Value For Shareholders?",Simply Wall St.
Mar-11-19,Weis: 4Q Earnings Snapshot,Associated Press
Mar-11-19,Weis Markets Reports Results For 2018 And Fourth Quarter,PR Newswire
Apr-02-19,"Can We See Significant Insider Ownership On The Weis Markets, Inc. (NYSE:WMK) Share Register?",Simply Wall St.
Apr-25-19,Weis Markets Announces Quarterly Dividend,PR Newswire
