date,title,source
Oct-18-18,"DXC Technology to Report Second Quarter 2019 Results on Tuesday, November 6, 2018",Business Wire
Oct-19-18,"Bill Nygren Buys DXC Technology, Charles Schwab",GuruFocus.com
Oct-24-18,Why Shares of DXC Technology Tumbled Today,Motley Fool
Oct-25-18,DXC Technology Opens Digital Innovation Lab in Singapore,Business Wire
Oct-29-18,"Research Report Identifies Chubb, DXC Technology, Medtronic, Snap-On, Euronet Worldwide, and Itron with Renewed Outlook  Fundamental Analysis, Calculating Forward Movement",GlobeNewswire
Oct-30-18,Is There An Opportunity With DXC Technology Companys (NYSE:DXC) 42.52% Undervaluation?,Simply Wall St.
Nov-05-18,DXC Technology Extends its Leading ServiceNow Practice with Acquisitions of TESM and BusinessNow,Business Wire
Nov-06-18,DXC Technology stock falls after revenue misses Street view,MarketWatch
Nov-06-18,DXC Technology Delivers Second Quarter Growth in Earnings per Share and EBIT Margins,Business Wire
Nov-07-18,Hedge Funds Are Sure This Struggling IT Company Will Rebound,Insider Monkey
Nov-07-18,"Stocks - Dow Rallies 545 Points as Tech, Health Care Bask in Post-Midterm Glow",Investing.com
Nov-08-18,Weitz Investment's Analyst Corner: An Introduction to DXC Technology,GuruFocus.com
Nov-08-18,"DXC Technology (DXC) Q2 Earnings Top, Revenues Lag Estimates",Zacks
Nov-08-18,DXC Technology Announces Incremental $2.0 Billion Share Repurchase Authorization,Business Wire
Nov-15-18,Attention Business Leaders: These Six Trends Will Impact Your 2019 Digital Transformation Journey,Business Wire
Nov-19-18,Edited Transcript of DXC.N earnings conference call or presentation 6-Nov-18 10:00pm GMT,Thomson Reuters StreetEvents
Nov-29-18,Is DXC Technology Companys (NYSE:DXC) 17% Better Than Average?,Simply Wall St.
Nov-30-18,"Bill Nygren Establishes Stakes in DXC Technology, Charles Schwab",GuruFocus.com
Dec-03-18,Edited Transcript of DXC.N earnings conference call or presentation 6-Nov-18 10:00pm GMT,Thomson Reuters StreetEvents
Dec-06-18,DXC (DXC) Down 1.9% Since Last Earnings Report: Can It Rebound?,Zacks
Dec-11-18,DXC Technology Announces Additional Analytics Migration Factory Locations in the Philippines and Poland to Accelerate Client Migration to Microsoft Azure,Business Wire
Dec-13-18,DXC Technology Selected by New York Metropolitan Transportation Authority (MTA) to Transform Asset Management Capabilities,Business Wire
Dec-13-18,"Market Trends Toward New Normal in DXC Technology, Patterson Companies, Lumentum, DSW, Agios Pharmaceuticals, and Six Flags Entertainment Corporation New  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Dec-18-18,"Consumers Show Preferences for Purchases Made In-Store, Survey Reveals",Business Wire
Dec-26-18,Is DXC Technology Company (NYSE:DXC) A Smart Choice For Dividend Investors?,Simply Wall St.
Dec-27-18,Robbins Geller Rudman & Dowd LLP Files Class Action Suit Against DXC Technology Company,Business Wire
Dec-28-18,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims on Behalf of Investors of DXC Technology Company - DXC,PR Newswire
Dec-28-18,"Bragar Eagel & Squire, P.C. Announces That a Class Action Lawsuit Has Been Filed Against DXC Technology Company (DXC) and Encourages DXC Investors to Contact the Firm",GlobeNewswire
Dec-28-18,"SHAREHOLDER ALERT: Levi & Korsinsky, LLP Notifies Shareholders of DXC Technology Company of a Class Action Lawsuit and a Lead Plaintiff Deadline of February 25, 2019  DXC",GlobeNewswire
Dec-28-18,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against DXC Technology Company (DXC) and Lead Plaintiff Deadline: February 26, 2019",GlobeNewswire
Dec-31-18,"INVESTIGATION ALERT: The Schall Law Firm Announces It is Investigating Claims against DXC Technology Company and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",Business Wire
Dec-31-18,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of ALGN, MGI, MDR and DXC",GlobeNewswire
Jan-02-19,"INVESTIGATION ALERT REMINDER: The Schall Law Firm Announces it is Investigating Claims Against DXC Technology Company and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",Business Wire
Jan-02-19,SHAREHOLDER ALERT: NSANY XPO TDOC DXC: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,GlobeNewswire
Jan-02-19,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against DXC Technology Company (DXC) and Lead Plaintiff Deadline: February 26, 2019",ACCESSWIRE
Jan-03-19,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims on Behalf of Investors of DXC Technology Company - DXC,ACCESSWIRE
Jan-04-19,"ONGOING INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against DXC Technology Company and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",GlobeNewswire
Jan-04-19,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against DXC Technology Company (DXC) and Lead Plaintiff Deadline: February 26, 2019",ACCESSWIRE
Jan-07-19,Luxoft Soars After Announcing $2 Billion Deal to Be Bought by DXC Technology,TheStreet.com
Jan-07-19,"Why Advanced Micro Devices, Luxoft Holding, and QEP Resources Jumped Today",Motley Fool
Jan-07-19,Why Luxoft Holding Stock Skyrocketed 80% Today,Motley Fool
Jan-07-19,"DXC INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In DXC Technology Company To Contact The Firm",PR Newswire
Jan-07-19,SHAREHOLDER ALERT: YOGA IMMU NVDA DXC: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,GlobeNewswire
